Day,Base_Demand,Tech_Trend_Multiplier,Geopolitical_Risk,Retail_Orders,MediaTek_Wafer_Orders
171,103.93,1.07,0.136,110.0,147.0
172,103.6,1.07,0.176,116.0,145.0
173,103.26,1.07,0.294,112.0,169.0
174,102.92,1.07,0.162,118.0,172.0
175,102.57,1.07,0.287,108.0,145.0
176,102.23,1.07,0.119,107.0,134.0
177,101.89,1.07,0.017,105.0,141.0
178,101.55,1.07,0.238,106.0,154.0
179,101.2,1.07,0.13,101.0,146.0
180,100.86,1.07,0.07,105.0,154.0
181,100.52,1.07,0.365,102.0,140.0
182,100.17,1.07,0.069,111.0,147.0
183,99.83,1.07,0.114,115.0,145.0
184,99.48,1.07,0.149,108.0,139.0
185,99.14,1.07,0.111,103.0,135.0
186,98.8,1.07,0.074,110.0,161.0
187,98.45,1.07,0.192,106.0,158.0
188,98.11,1.07,0.088,111.0,148.0
189,97.77,1.08,0.288,100.0,123.0
190,97.43,1.08,0.438,100.0,156.0
191,97.08,1.08,0.173,108.0,154.0
192,96.74,1.08,0.168,104.0,135.0
193,96.4,1.08,0.082,108.0,154.0
194,96.07,1.08,0.458,99.0,142.0
195,95.73,1.08,0.055,105.0,148.0
196,95.39,1.08,0.184,106.0,149.0
197,95.06,1.08,0.298,95.0,123.0
198,94.73,1.08,0.087,102.0,134.0
199,94.4,1.08,0.139,92.0,127.0
200,94.07,1.08,0.083,109.0,149.0
201,93.74,1.08,0.226,95.0,144.0
202,93.41,1.08,0.253,100.0,154.0
203,93.09,1.08,0.075,101.0,132.0
204,92.77,1.08,0.03,95.0,131.0
205,92.45,1.08,0.01,109.0,159.0
206,92.13,1.08,0.088,96.0,119.0
207,91.81,1.08,0.152,98.0,129.0
208,91.5,1.08,0.285,96.0,121.0
209,91.19,1.08,0.172,95.0,126.0
210,90.88,1.08,0.125,98.0,135.0
211,90.58,1.08,0.218,102.0,122.0
212,90.27,1.08,0.232,99.0,144.0
213,89.98,1.08,0.134,94.0,124.0
214,89.68,1.09,0.037,97.0,128.0
215,89.39,1.09,0.243,90.0,117.0
216,89.1,1.09,0.144,103.0,140.0
217,88.81,1.09,0.05,94.0,141.0
218,88.52,1.09,0.189,94.0,127.0
219,88.24,1.09,0.093,86.0,94.0
220,87.97,1.09,0.322,93.0,148.0
221,87.69,1.09,0.091,104.0,145.0
222,87.42,1.09,0.256,98.0,141.0
223,87.16,1.09,0.319,100.0,152.0
224,86.9,1.09,0.118,95.0,130.0
225,86.64,1.09,0.159,81.0,129.0
226,86.38,1.09,0.211,94.0,140.0
227,86.13,1.09,0.181,95.0,127.0
228,85.89,1.09,0.045,98.0,145.0
229,85.65,1.09,0.119,93.0,145.0
230,85.41,1.09,0.282,89.0,138.0
231,85.18,1.09,0.118,92.0,130.0
232,84.95,1.09,0.351,91.0,126.0
233,84.72,1.09,0.296,95.0,145.0
234,84.5,1.09,0.138,92.0,130.0
235,84.29,1.09,0.117,87.0,118.0
236,84.08,1.09,0.068,95.0,133.0
237,83.87,1.09,0.072,88.0,119.0
238,83.67,1.09,0.118,90.0,128.0
239,83.47,1.09,0.083,89.0,130.0
240,83.28,1.1,0.135,92.0,113.0
241,83.1,1.1,0.267,84.0,110.0
242,82.91,1.1,0.178,91.0,117.0
243,82.74,1.1,0.234,96.0,156.0
244,82.57,1.1,0.12,91.0,130.0
245,82.4,1.1,0.201,87.0,129.0
246,82.24,1.1,0.114,88.0,131.0
247,82.08,1.1,0.146,92.0,115.0
248,81.93,1.1,0.399,93.0,119.0
249,81.79,1.1,0.103,97.0,131.0
250,81.65,1.1,0.19,82.0,123.0
251,81.51,1.1,0.08,91.0,120.0
252,81.39,1.1,0.391,90.0,122.0
253,81.26,1.1,0.09,89.0,111.0
254,81.14,1.1,0.082,91.0,110.0
255,81.03,1.1,0.316,88.0,122.0
256,80.93,1.1,0.222,84.0,107.0
257,80.83,1.1,0.141,90.0,125.0
258,80.73,1.1,0.225,92.0,125.0
259,80.64,1.1,0.146,89.0,128.0
260,80.56,1.1,0.105,94.0,118.0
261,80.48,1.1,0.128,88.0,122.0
262,80.41,1.1,0.376,91.0,135.0
263,80.34,1.1,0.284,81.0,121.0
264,80.28,1.1,0.187,100.0,145.0
265,80.23,1.11,0.161,88.0,127.0
266,80.18,1.11,0.102,86.0,125.0
267,80.13,1.11,0.125,87.0,124.0
268,80.1,1.11,0.214,84.0,121.0
269,80.07,1.11,0.052,83.0,103.0
270,80.04,1.11,0.038,89.0,126.0
271,80.02,1.11,0.221,89.0,119.0
272,80.01,1.11,0.094,90.0,118.0
273,80.0,1.11,0.256,88.0,118.0
274,80.0,1.11,0.286,88.0,119.0
275,80.0,1.11,0.165,83.0,111.0
276,80.01,1.11,0.282,86.0,122.0
277,80.03,1.11,0.264,90.0,120.0
278,80.05,1.11,0.342,86.0,127.0
279,80.08,1.11,0.101,90.0,124.0
280,80.12,1.11,0.026,88.0,111.0
281,80.16,1.11,0.007,88.0,138.0
282,80.2,1.11,0.247,90.0,132.0
283,80.25,1.11,0.143,92.0,127.0
284,80.31,1.11,0.06,93.0,117.0
285,80.37,1.11,0.16,99.0,139.0
286,80.44,1.11,0.119,94.0,130.0
287,80.52,1.11,0.143,82.0,113.0
288,80.6,1.11,0.146,84.0,130.0
289,80.69,1.11,0.243,89.0,109.0
290,80.78,1.11,0.07,86.0,111.0
291,80.88,1.12,0.155,92.0,134.0
292,80.98,1.12,0.107,93.0,117.0
293,81.09,1.12,0.199,88.0,108.0
294,81.2,1.12,0.089,97.0,125.0
295,81.32,1.12,0.06,98.0,141.0
296,81.45,1.12,0.19,82.0,106.0
297,81.58,1.12,0.17,84.0,113.0
298,81.72,1.12,0.036,97.0,132.0
299,81.86,1.12,0.309,96.0,134.0
300,82.01,1.12,0.203,94.0,128.0
301,82.16,1.12,0.12,92.0,119.0
302,82.32,1.12,0.023,92.0,114.0
303,82.48,1.12,0.269,95.0,125.0
304,82.65,1.12,0.174,93.0,127.0
305,82.82,1.12,0.231,99.0,151.0
306,83.0,1.12,0.159,90.0,139.0
307,83.19,1.12,0.035,93.0,135.0
308,83.38,1.12,0.125,98.0,135.0
309,83.57,1.12,0.222,95.0,150.0
310,83.77,1.12,0.041,97.0,152.0
311,83.97,1.12,0.127,98.0,135.0
312,84.18,1.12,0.068,92.0,113.0
313,84.39,1.12,0.245,90.0,141.0
314,84.61,1.12,0.142,91.0,113.0
315,84.83,1.12,0.229,90.0,118.0
316,85.06,1.12,0.226,86.0,101.0
317,85.29,1.13,0.397,101.0,159.0
318,85.53,1.13,0.343,87.0,105.0
319,85.77,1.13,0.055,106.0,150.0
320,86.01,1.13,0.213,94.0,151.0
321,86.26,1.13,0.428,96.0,162.0
322,86.51,1.13,0.204,90.0,113.0
323,86.77,1.13,0.423,100.0,132.0
324,87.03,1.13,0.129,97.0,126.0
325,87.29,1.13,0.298,99.0,152.0
326,87.56,1.13,0.37,95.0,153.0
327,87.83,1.13,0.082,102.0,143.0
328,88.11,1.13,0.13,95.0,135.0
329,88.38,1.13,0.392,100.0,174.0
330,88.67,1.13,0.137,103.0,136.0
331,88.95,1.13,0.268,108.0,147.0
332,89.24,1.13,0.274,105.0,139.0
333,89.53,1.13,0.075,102.0,140.0
334,89.83,1.13,0.266,102.0,144.0
335,90.12,1.13,0.212,104.0,154.0
336,90.43,1.13,0.09,106.0,138.0
337,90.73,1.13,0.094,99.0,140.0
338,91.04,1.13,0.362,108.0,156.0
339,91.34,1.13,0.072,99.0,130.0
340,91.66,1.13,0.229,106.0,150.0
341,91.97,1.13,0.182,107.0,132.0
342,92.29,1.13,0.291,101.0,145.0
343,92.61,1.14,0.244,97.0,144.0
344,92.93,1.14,0.131,104.0,132.0
345,93.25,1.14,0.095,93.0,144.0
346,93.57,1.14,0.346,105.0,155.0
347,93.9,1.14,0.347,100.0,142.0
348,94.23,1.14,0.187,123.0,164.0
349,94.56,1.14,0.156,113.0,169.0
350,94.89,1.14,0.057,108.0,136.0
351,95.23,1.14,0.294,115.0,169.0
352,95.56,1.14,0.375,112.0,176.0
353,95.9,1.14,0.064,103.0,143.0
354,96.24,1.14,0.076,107.0,137.0
355,96.57,1.14,0.071,115.0,162.0
356,96.91,1.14,0.122,106.0,145.0
357,97.25,1.14,0.165,113.0,139.0
358,97.6,1.14,0.148,115.0,170.0
359,97.94,1.14,0.053,110.0,140.0
360,98.28,1.14,0.365,113.0,166.0
361,98.62,1.14,0.085,117.0,160.0
362,98.97,1.14,0.153,117.0,156.0
363,99.31,1.14,0.097,116.0,164.0
364,99.66,1.14,0.303,114.0,154.0
365,100.0,1.14,0.086,117.0,152.0
366,100.34,1.14,0.181,105.0,158.0
367,100.69,1.14,0.427,123.0,186.0
368,101.03,1.14,0.128,115.0,146.0
369,101.38,1.15,0.188,112.0,158.0
370,101.72,1.15,0.082,120.0,164.0
371,102.06,1.15,0.147,120.0,149.0
372,102.4,1.15,0.234,112.0,176.0
373,102.75,1.15,0.058,118.0,175.0
374,103.09,1.15,0.127,118.0,163.0
375,103.43,1.15,0.199,119.0,164.0
376,103.76,1.15,0.03,127.0,168.0
377,104.1,1.15,0.222,119.0,177.0
378,104.44,1.15,0.177,119.0,170.0
379,104.77,1.15,0.102,117.0,160.0
380,105.11,1.15,0.163,117.0,175.0
381,105.44,1.15,0.359,123.0,194.0
382,105.77,1.15,0.048,119.0,148.0
383,106.1,1.15,0.168,121.0,176.0
384,106.43,1.15,0.22,123.0,186.0
385,106.75,1.15,0.088,123.0,168.0
386,107.07,1.15,0.124,124.0,175.0
387,107.39,1.15,0.289,124.0,177.0
388,107.71,1.15,0.139,127.0,162.0
389,108.03,1.15,0.076,138.0,203.0
390,108.34,1.15,0.066,131.0,161.0
391,108.66,1.15,0.247,124.0,193.0
392,108.96,1.15,0.443,132.0,200.0
393,109.27,1.15,0.205,121.0,182.0
394,109.57,1.15,0.232,124.0,175.0
395,109.88,1.15,0.108,130.0,186.0
396,110.17,1.16,0.062,131.0,178.0
397,110.47,1.16,0.054,131.0,167.0
398,110.76,1.16,0.235,125.0,179.0
399,111.05,1.16,0.306,126.0,181.0
400,111.33,1.16,0.126,129.0,183.0
401,111.62,1.16,0.114,128.0,175.0
402,111.89,1.16,0.07,134.0,182.0
403,112.17,1.16,0.285,129.0,175.0
404,112.44,1.16,0.145,129.0,164.0
405,112.71,1.16,0.12,122.0,167.0
406,112.97,1.16,0.137,135.0,187.0
407,113.23,1.16,0.276,133.0,181.0
408,113.49,1.16,0.121,120.0,169.0
409,113.74,1.16,0.164,134.0,192.0
410,113.99,1.16,0.237,130.0,186.0
411,114.23,1.16,0.223,136.0,193.0
412,114.47,1.16,0.282,132.0,178.0
413,114.71,1.16,0.09,129.0,161.0
414,114.94,1.16,0.207,142.0,204.0
415,115.17,1.16,0.191,142.0,189.0
416,115.39,1.16,0.163,133.0,176.0
417,115.61,1.16,0.309,136.0,201.0
418,115.82,1.16,0.321,132.0,214.0
419,116.03,1.16,0.067,127.0,165.0
420,116.23,1.16,0.084,142.0,211.0
421,116.43,1.16,0.373,132.0,195.0
422,116.62,1.17,0.076,142.0,196.0
423,116.81,1.17,0.026,140.0,193.0
424,117.0,1.17,0.05,138.0,193.0
425,117.18,1.17,0.208,136.0,195.0
426,117.35,1.17,0.225,140.0,196.0
427,117.52,1.17,0.078,132.0,186.0
428,117.68,1.17,0.174,144.0,204.0
429,117.84,1.17,0.061,138.0,180.0
430,117.99,1.17,0.144,145.0,213.0
431,118.14,1.17,0.038,137.0,186.0
432,118.28,1.17,0.166,139.0,185.0
433,118.42,1.17,0.264,140.0,191.0
434,118.55,1.17,0.265,142.0,222.0
435,118.68,1.17,0.171,148.0,200.0
436,118.8,1.17,0.23,137.0,201.0
437,118.91,1.17,0.091,139.0,190.0
438,119.02,1.17,0.082,139.0,194.0
439,119.12,1.17,0.17,128.0,196.0
440,119.22,1.17,0.146,137.0,198.0
441,119.31,1.17,0.114,137.0,195.0
442,119.4,1.17,0.334,153.0,223.0
443,119.48,1.17,0.007,141.0,178.0
444,119.56,1.17,0.134,143.0,219.0
445,119.63,1.17,0.042,133.0,175.0
446,119.69,1.17,0.318,140.0,203.0
447,119.75,1.17,0.197,145.0,206.0
448,119.8,1.17,0.108,153.0,209.0
449,119.84,1.18,0.064,137.0,199.0
450,119.88,1.18,0.182,132.0,189.0
451,119.92,1.18,0.054,137.0,169.0
452,119.95,1.18,0.211,137.0,186.0
453,119.97,1.18,0.396,137.0,206.0
454,119.99,1.18,0.347,146.0,225.0
455,120.0,1.18,0.077,143.0,176.0
456,120.0,1.18,0.352,136.0,205.0
457,120.0,1.18,0.027,148.0,202.0
458,119.99,1.18,0.129,151.0,215.0
459,119.98,1.18,0.08,133.0,177.0
460,119.96,1.18,0.024,147.0,204.0
461,119.93,1.18,0.261,141.0,193.0
462,119.9,1.18,0.28,137.0,206.0
463,119.87,1.18,0.281,134.0,193.0
464,119.82,1.18,0.146,139.0,192.0
465,119.77,1.18,0.189,139.0,194.0
466,119.72,1.18,0.386,142.0,219.0
467,119.66,1.18,0.142,152.0,197.0
468,119.59,1.18,0.183,139.0,202.0
469,119.52,1.18,0.116,134.0,191.0
470,119.44,1.18,0.301,140.0,200.0
471,119.36,1.18,0.292,146.0,212.0
472,119.27,1.18,0.208,140.0,188.0
473,119.17,1.18,0.146,144.0,187.0
474,119.07,1.18,0.199,142.0,201.0
475,118.97,1.18,0.19,141.0,199.0
476,118.86,1.19,0.039,149.0,193.0
477,118.74,1.19,0.188,136.0,177.0
478,118.61,1.19,0.336,135.0,203.0
479,118.49,1.19,0.081,136.0,179.0
480,118.35,1.19,0.191,142.0,191.0
481,118.21,1.19,0.162,141.0,207.0
482,118.07,1.19,0.138,144.0,187.0
483,117.92,1.19,0.276,140.0,206.0
484,117.76,1.19,0.102,139.0,173.0
485,117.6,1.19,0.248,141.0,187.0
486,117.43,1.19,0.194,148.0,212.0
487,117.26,1.19,0.051,134.0,174.0
488,117.09,1.19,0.117,135.0,171.0
489,116.9,1.19,0.158,139.0,202.0
490,116.72,1.19,0.087,149.0,204.0
491,116.53,1.19,0.167,133.0,163.0
492,116.33,1.19,0.144,138.0,200.0
493,116.13,1.19,0.113,134.0,171.0
494,115.92,1.19,0.066,140.0,170.0
495,115.71,1.19,0.224,128.0,172.0
496,115.5,1.19,0.004,133.0,172.0
497,115.28,1.19,0.142,144.0,198.0
498,115.05,1.19,0.248,137.0,179.0
499,114.82,1.19,0.243,133.0,175.0
500,114.59,1.19,0.129,137.0,179.0
501,114.35,1.19,0.397,136.0,197.0
502,114.11,1.19,0.054,139.0,192.0
503,113.87,1.19,0.135,126.0,168.0
504,113.62,1.2,0.136,131.0,186.0
505,113.36,1.2,0.044,131.0,184.0
506,113.1,1.2,0.15,138.0,196.0
507,112.84,1.2,0.15,135.0,155.0
508,112.58,1.2,0.061,142.0,186.0
509,112.31,1.2,0.182,139.0,191.0
510,112.03,1.2,0.035,132.0,174.0
511,111.76,1.2,0.227,134.0,168.0
512,111.48,1.2,0.107,140.0,182.0
513,111.19,1.2,0.414,140.0,198.0
514,110.9,1.2,0.089,132.0,169.0
515,110.61,1.2,0.148,128.0,173.0
516,110.32,1.2,0.198,122.0,163.0
517,110.02,1.2,0.116,122.0,156.0
518,109.73,1.2,0.24,134.0,188.0
519,109.42,1.2,0.163,134.0,180.0
520,109.12,1.2,0.022,128.0,169.0
521,108.81,1.2,0.048,137.0,178.0
522,108.5,1.2,0.262,129.0,169.0
523,108.19,1.2,0.177,127.0,166.0
524,107.87,1.2,0.128,136.0,182.0
525,107.55,1.2,0.171,135.0,182.0
526,107.23,1.2,0.044,129.0,156.0
527,106.91,1.2,0.12,131.0,185.0
528,106.59,1.2,0.168,132.0,185.0
529,106.26,1.2,0.441,139.0,205.0
530,105.93,1.2,0.116,127.0,171.0
531,105.6,1.21,0.121,121.0,154.0
532,105.27,1.21,0.166,130.0,188.0
533,104.94,1.21,0.151,127.0,195.0
534,104.61,1.21,0.122,127.0,166.0
535,104.27,1.21,0.281,126.0,193.0
536,103.93,1.21,0.12,117.0,151.0
537,103.6,1.21,0.265,126.0,176.0
538,103.26,1.21,0.136,123.0,182.0
539,102.92,1.21,0.244,123.0,173.0
540,102.57,1.21,0.173,122.0,176.0
541,102.23,1.21,0.138,123.0,166.0
542,101.89,1.21,0.052,124.0,147.0
543,101.55,1.21,0.407,123.0,208.0
544,101.2,1.21,0.128,128.0,173.0
545,100.86,1.21,0.18,126.0,176.0
546,100.52,1.21,0.094,121.0,156.0
547,100.17,1.21,0.102,116.0,165.0
548,99.83,1.21,0.241,124.0,183.0
549,99.48,1.21,0.329,119.0,159.0
550,99.14,1.21,0.237,119.0,171.0
551,98.8,1.21,0.148,113.0,164.0
552,98.45,1.21,0.226,121.0,184.0
553,98.11,1.21,0.113,132.0,185.0
554,97.77,1.21,0.162,116.0,168.0
555,97.43,1.21,0.072,121.0,157.0
556,97.08,1.21,0.072,124.0,154.0
557,96.74,1.21,0.221,115.0,159.0
558,96.4,1.21,0.197,105.0,134.0
559,96.07,1.22,0.193,120.0,160.0
560,95.73,1.22,0.139,117.0,152.0
561,95.39,1.22,0.163,118.0,153.0
562,95.06,1.22,0.088,116.0,161.0
563,94.73,1.22,0.021,121.0,148.0
564,94.4,1.22,0.172,114.0,177.0
565,94.07,1.22,0.043,125.0,176.0
566,93.74,1.22,0.247,118.0,179.0
567,93.41,1.22,0.294,119.0,165.0
568,93.09,1.22,0.401,113.0,172.0
569,92.77,1.22,0.156,115.0,148.0
570,92.45,1.22,0.09,104.0,142.0
571,92.13,1.22,0.18,109.0,134.0
572,91.81,1.22,0.125,117.0,171.0
573,91.5,1.22,0.14,111.0,146.0
574,91.19,1.22,0.292,106.0,156.0
575,90.88,1.22,0.131,108.0,152.0
576,90.58,1.22,0.114,107.0,140.0
577,90.27,1.22,0.072,110.0,139.0
578,89.98,1.22,0.15,106.0,144.0
579,89.68,1.22,0.283,117.0,176.0
580,89.39,1.22,0.103,110.0,148.0
581,89.1,1.22,0.278,102.0,153.0
582,88.81,1.22,0.142,116.0,167.0
583,88.52,1.22,0.28,108.0,154.0
584,88.24,1.22,0.242,111.0,156.0
585,87.97,1.22,0.06,109.0,147.0
586,87.69,1.22,0.27,109.0,168.0
587,87.42,1.22,0.047,105.0,136.0
588,87.16,1.23,0.055,108.0,155.0
589,86.9,1.23,0.105,106.0,146.0
590,86.64,1.23,0.357,108.0,152.0
591,86.38,1.23,0.208,105.0,147.0
592,86.13,1.23,0.07,104.0,128.0
593,85.89,1.23,0.034,98.0,116.0
594,85.65,1.23,0.229,105.0,155.0
595,85.41,1.23,0.17,106.0,155.0
596,85.18,1.23,0.189,114.0,158.0
597,84.95,1.23,0.204,107.0,150.0
598,84.72,1.23,0.31,100.0,140.0
599,84.5,1.23,0.145,99.0,137.0
600,84.29,1.23,0.267,105.0,170.0
601,84.08,1.23,0.08,100.0,144.0
602,83.87,1.23,0.032,100.0,131.0
603,83.67,1.23,0.241,99.0,139.0
604,83.47,1.23,0.065,101.0,131.0
605,83.28,1.23,0.181,106.0,134.0
606,83.1,1.23,0.329,92.0,130.0
607,82.91,1.23,0.038,109.0,150.0
608,82.74,1.23,0.177,101.0,131.0
609,82.57,1.23,0.032,99.0,127.0
610,82.4,1.23,0.143,106.0,134.0
611,82.24,1.23,0.009,100.0,139.0
612,82.08,1.23,0.045,96.0,114.0
613,81.93,1.23,0.092,93.0,132.0
614,81.79,1.23,0.029,104.0,148.0
615,81.65,1.23,0.199,105.0,143.0
616,81.51,1.23,0.19,99.0,131.0
617,81.39,1.24,0.366,107.0,164.0
618,81.26,1.24,0.06,101.0,150.0
619,81.14,1.24,0.118,107.0,159.0
620,81.03,1.24,0.042,95.0,125.0
621,80.93,1.24,0.097,95.0,119.0
622,80.83,1.24,0.407,97.0,144.0
623,80.73,1.24,0.237,98.0,122.0
624,80.64,1.24,0.063,106.0,135.0
625,80.56,1.24,0.017,101.0,137.0
626,80.48,1.24,0.015,96.0,122.0
627,80.41,1.24,0.194,100.0,133.0
628,80.34,1.24,0.091,97.0,130.0
629,80.28,1.24,0.507,95.0,146.0
630,80.23,1.24,0.11,99.0,142.0
631,80.18,1.24,0.101,98.0,120.0
